customer_id,customer_name,customer_phone,customer_email,customer_password,customer_status,customer_ip,customer_located,customer_device,created_at,updated_at,deleted_at
345,Ngô Văn Phong,333318206,ngovanphong973@yahoo.com,e10adc3949ba59abbe56e057f20f883e,1,127.0.0.1,Đà Nẵng,Mozilla/5.0,2024-04-11 17:00:00,2024-04-11 17:00:00,
",
346",Bùi Hữu Dũng,435528741,buihuudung485@gmail.com,e10adc3949ba59abbe56e057f20f883e,1,127.0.0.1,Hải Phòng,Mozilla/5.0,2024-10-14 17:00:00,2024-10-14 17:00:00,
",
347",Võ Minh Phong,696098177,vominhphong172@vku.udn.vn,e10adc3949ba59abbe56e057f20f883e,1,127.0.0.1,Hà Nội,Mozilla/5.0,2024-11-05 17:00:00,2024-11-05 17:00:00,
",
348",Ngô Hữu Hùng,416070149,ngohuuhung593@gmail.com,e10adc3949ba59abbe56e057f20f883e,1,127.0.0.1,Quy Nhơn,Mozilla/5.0,2024-06-07 17:00:00,2024-06-07 17:00:00,
",
349",Đỗ Quốc Linh,512954978,doquoclinh78@vku.udn.vn,e10adc3949ba59abbe56e057f20f883e,1,127.0.0.1,Hải Phòng,Mozilla/5.0,2024-12-18 17:00:00,2024-12-18 17:00:00,
",
350",Trần Minh Hạnh,944687060,tranminhhanh825@gmail.com,e10adc3949ba59abbe56e057f20f883e,1,127.0.0.1,Đà Nẵng,Mozilla/5.0,2024-10-15 17:00:00,2024-10-15 17:00:00,
",
351",Phan Thu Linh,697897455,phanthulinh71@vku.udn.vn,e10adc3949ba59abbe56e057f20f883e,1,127.0.0.1,Huế,Mozilla/5.0,2024-11-26 17:00:00,2024-11-26 17:00:00,
",
352",Nguyễn Quốc Hạnh,826350075,nguyenquochanh109@outlook.com,e10adc3949ba59abbe56e057f20f883e,1,127.0.0.1,Đà Lạt,Mozilla/5.0,2024-07-03 17:00:00,2024-07-03 17:00:00,
",
353",Hồ Hữu Linh,489125618,hohuulinh752@vku.udn.vn,e10adc3949ba59abbe56e057f20f883e,1,127.0.0.1,Cần Thơ,Mozilla/5.0,2024-11-28 17:00:00,2024-11-28 17:00:00,
",
354",Bùi Thu Phong,819151495,buithuphong477@outlook.com,e10adc3949ba59abbe56e057f20f883e,1,127.0.0.1,Cần Thơ,Mozilla/5.0,2024-10-29 17:00:00,2024-10-29 17:00:00,
